Code,Attribute (field)
CF_DISTANC,Distance to the nearest: 0: available 1: <5 km. 2: 5-10 km. 3: >10 km.
BUS_STOP,Bus stop
RAILWAY,Railway station
PUCCA_ROAD,Approach pucca road
KACHCHA_RO,Approach kachcha road
FOOTPATH,Approach footpath
NEAR_TOWN,Nearest town
DIST_TOWN,Distance to town 0 km. 1: <5 km. 2: 5-10 km. 3: >10 km.
PW_AVALAIB,Available or not
PW_DOMESTI,Power for domestic purpose
PW_AGRICUL,Power for agriculture
PW_IND_COM,Power for industrial or/and commercial purpose
PW_FOR_ALL,Power for all purpose
LU_FOREST,Forest
LU%_FOREST,Forest as % of total area
LU_IRRIGAT,Total irrigated area
LU%_IRRIGA,Irrigated area as % of total cultivated area
LU_UNIRRIG,Unirrigated area
LU%_UNIRRI,Unirrigated area as % of total cultivated area
LU_CULT_WA,Culturable waste
LU%_CULT_W,Culturable waste as % of total area
LU_NON_CUL,Not available for cultivation
LU%_NON_C,Not available for cultivation as % of total area
IR_WELL,Surface irrigated by well
IR_TUBEWEL,Surface irrigated by tubewell
IR_TANK,Surface irrigated by tank
IR_LAKE,Surface irrigated by lake
IR_RIVER,Surface irrigated by river
IR_GVT_CAN,Surface irrigated by government canal
IR_PRIV_CA,Surface irrigated by private canal
IR_OTHER,Surface irrigated by other sources
